Mon,2014-07-07 09:04:45,168,11.905 %,Consistent
Mon,2014-07-07 09:09:46,163,-3.067 %,Consistent
Mon,2014-07-07 09:14:45,161,-1.242 %,Consistent
Mon,2014-07-07 09:19:45,158,-1.899 %,Consistent
Mon,2014-07-07 09:24:45,168,5.952 %,Consistent
Mon,2014-07-07 09:29:45,173,2.890 %,Consistent
Mon,2014-07-07 09:34:46,183,5.464 %,Consistent
Mon,2014-07-07 09:39:45,191,4.188 %,Consistent
Mon,2014-07-07 09:44:45,182,-4.945 %,Consistent
Mon,2014-07-07 09:49:45,181,-0.552 %,Consistent
Mon,2014-07-07 09:54:45,183,1.093 %,Consistent
Mon,2014-07-07 09:59:45,177,-3.390 %,Consistent
Mon,2014-07-07 10:04:45,189,6.349 %,Consistent
Mon,2014-07-07 10:09:45,181,-4.420 %,Consistent
Mon,2014-07-07 10:14:45,161,-12.422 %,Consistent
Mon,2014-07-07 10:19:45,166,3.012 %,Consistent
Mon,2014-07-07 10:24:45,150,-10.667 %,Consistent
Mon,2014-07-07 10:29:45,147,-2.041 %,Consistent
Mon,2014-07-07 10:34:45,184,20.109 %,Consistent
Mon,2014-07-07 10:39:45,156,-17.949 %,Consistent
Mon,2014-07-07 10:44:45,169,7.692 %,Consistent
Mon,2014-07-07 10:49:45,154,-9.740 %,Consistent
Mon,2014-07-07 10:54:45,180,14.444 %,Consistent
Mon,2014-07-07 10:59:45,139,-29.496 %,Consistent
Mon,2014-07-07 11:04:44,175,20.571 %,Consistent
Mon,2014-07-07 11:09:45,174,-0.575 %,Consistent
Mon,2014-07-07 11:14:45,170,-2.353 %,Consistent
Mon,2014-07-07 11:19:45,165,-3.030 %,Consistent
Mon,2014-07-07 11:24:45,184,10.326 %,Consistent
Mon,2014-07-07 11:29:45,175,-5.143 %,Consistent
Mon,2014-07-07 11:34:45,162,-8.025 %,Consistent
Mon,2014-07-07 11:39:45,164,1.220 %,Consistent
Mon,2014-07-07 11:44:45,189,13.228 %,Consistent
Mon,2014-07-07 11:49:45,175,-8.000 %,Consistent
Mon,2014-07-07 11:54:45,190,7.895 %,Consistent
Mon,2014-07-07 11:59:44,143,-32.867 %,Consistent
Mon,2014-07-07 12:04:45,166,13.855 %,Consistent
Mon,2014-07-07 12:09:45,161,-3.106 %,Consistent
Mon,2014-07-07 12:14:45,178,9.551 %,Consistent
Mon,2014-07-07 12:19:45,171,-4.094 %,Consistent
Mon,2014-07-07 12:24:45,176,2.841 %,Consistent
Mon,2014-07-07 12:29:45,206,14.563 %,Consistent
Mon,2014-07-07 12:34:45,175,-17.714 %,Consistent
Mon,2014-07-07 12:39:45,179,2.235 %,Consistent
Mon,2014-07-07 12:44:45,168,-6.548 %,Consistent
Mon,2014-07-07 12:49:44,145,-15.862 %,Consistent
Mon,2014-07-07 12:54:45,169,14.201 %,Consistent
Mon,2014-07-07 12:59:45,180,6.111 %,Consistent
Mon,2014-07-07 13:04:45,186,3.226 %,Consistent
Mon,2014-07-07 13:09:44,169,-10.059 %,Consistent
Mon,2014-07-07 13:14:45,166,-1.807 %,Consistent
Mon,2014-07-07 13:19:45,186,10.753 %,Consistent
Mon,2014-07-07 13:24:45,179,-3.911 %,Consistent
Mon,2014-07-07 13:29:44,172,-4.070 %,Consistent
Mon,2014-07-07 13:34:44,163,-5.521 %,Consistent
Mon,2014-07-07 13:39:45,144,-13.194 %,Consistent
Mon,2014-07-07 13:44:45,150,4.000 %,Consistent
Mon,2014-07-07 13:49:45,186,19.355 %,Consistent
Mon,2014-07-07 13:54:44,199,6.533 %,Consistent
Mon,2014-07-07 13:59:45,192,-3.646 %,Consistent
